SMILES,Vol%,Exp. CN,Exp. YSI,Exp. LHV (MJ/kg),Exp. KV (cSt),Exp. CP (deg. C),Exp. FP (deg. C),Exp. BP (deg. C),Pred. CN,Pred. YSI,Pred. LHV (MJ/kg),Pred. KV (cSt),Pred. CP (deg. C),Pred. FP (deg. C),Pred. BP (deg. C),Abs. Err. CN,Abs. Err. YSI,Abs. Err. LHV (MJ/kg),Abs. Err. KV (cSt),Abs. Err. CP (deg. C),Abs. Err. FP (deg. C),Abs. Err. BP (deg. C)
CC(=O)C,0.00719519083,-,13.0,-,0.3546,-,-20.0,-,16.561844,14.656081,29.159945,0.32268015,6.1322474,-22.30432,44.13991,-,1.656081199645996,-,0.03191985449790957,-,2.304319381713867,-
CC(=O)CO,0.020647951510000002,-,-,-,-,-,-,-,1.802623,11.743161,20.087557,2.3536801,20.44793,50.089943,154.45845,-,-,-,-,-,-,-
COCC(=O)O,0.00800232972,-,-,-,-,-,-,-,9.0148735,11.346907,13.719922,1.050809,-0.01591508,74.434845,167.22832,-,-,-,-,-,-,-
C1CC(=O)C=C1,0.0,-,-,-,-,-,-,-,12.649036,36.070873,31.304049,1.5876039,-7.8255615,23.520924,149.68872,-,-,-,-,-,-,-
CC1=CCCC1=O,0.0,-,-,-,-,-,49.0,157.0,12.6639185,43.013943,32.89078,2.0113473,42.026024,45.63838,151.4644,-,-,-,-,-,3.361621856689453,5.5355987548828125
CCCCC1=CC=C(O1)CCCC,0.04314606435,-,-,-,-,-,-,-,25.495373,161.46904,36.266422,1.7812833,4.7785287,77.189384,229.03647,-,-,-,-,-,-,-
C1=COC(=C1)C=O,0.0,13.9,-,-,1.1596,-,60.0,162.0,14.879296,38.178337,22.624048,2.178388,62.172264,59.419308,154.94205,0.9792963027954098,-,-,1.0187881187438965,-,0.5806922912597656,7.057952880859375
CC(=O)C1=CC=CO1,0.04254842869,-,-,-,-,-,-,-,13.629831,44.522743,25.46331,2.6534417,17.14943,53.250942,180.49173,-,-,-,-,-,-,-
CCC(=C(C)C)C(=O)C,0.02636442582,-,-,-,-,-,-,-,8.867658,49.55387,36.91225,0.8821805,37.335236,49.269096,140.77164,-,-,-,-,-,-,-
CCCCC(=O)O,0.0341704399,-,-,-,1.719,-,96.0,186.5,12.874936,26.077938,26.08019,1.9770042,23.59854,67.614395,185.80109,-,-,-,0.25800417041778556,-,28.385604858398438,0.69891357421875
